iter	Passed	Remaining
154	2024	11035
155	2037	11023
156	2047	10992
157	2059	10976
158	2073	10966
159	2084	10944
160	2098	10936
161	2110	10918
162	2124	10908
163	2142	10919
164	2152	10894
165	2169	10899
166	2182	10887
167	2195	10872
168	2205	10846
169	2216	10822
170	2227	10796
171	2238	10774
172	2246	10739
173	2256	10714
174	2266	10682
175	2276	10657
176	2286	10632
177	2295	10598
178	2305	10573
179	2314	10541
180	2323	10512
181	2336	10500
182	2346	10477
183	2356	10449
184	2367	10430
185	2376	10398
186	2386	10376
187	2400	10367
188	2409	10337
189	2419	10314
190	2429	10289
191	2438	10260
192	2448	10238
193	2457	10209
194	2466	10183
195	2474	10152
196	2486	10136
197	2496	10111
198	2505	10083
199	2516	10064
200	2525	10040
201	2538	10027
202	2550	10013
203	2561	9996
204	2572	9974
205	2584	9960
206	2595	9943
207	2605	9920
208	2619	9913
209	2633	9908
210	2645	9892
211	2656	9874
212	2666	9851
213	2679	9840
214	2690	9822
215	2701	9804
216	2712	9787
217	2723	9770
218	2732	9744
219	2742	9724
220	2751	9699
221	2761	9678
222	2772	9659
223	2781	9635
224	2791	9614
225	2800	9590
226	2811	9575
227	2823	9559
228	2833	9538
229	2845	9524
230	2856	9508
231	2865	9486
232	2877	9471
233	2888	9456
234	2900	9443
235	2913	9431
236	2924	9415
237	2935	9399
238	2945	9379
239	2957	9364
240	2968	9348
241	2981	9339
242	2991	9317
243	3001	9300
244	3011	9280
245	3022	9264
246	3032	9243
247	3041	9221
248	3050	9201
249	3059	9178
250	3069	9158
251	3077	9134
252	3088	9118
253	3098	9099
254	3106	9075
255	3116	9056
256	3126	9039
257	3143	9040
258	3154	9024
259	3168	9016
260	3178	8998
261	3189	8983
262	3202	8975
263	3215	8965
264	3225	8946
265	3238	8935
266	3251	8925
267	3263	8912
268	3278	8910
269	3290	8897
270	3302	8883
271	3313	8868
272	3323	8850
273	3345	8863
274	3365	8873
275	3386	8883
276	3400	8875
277	3491	9067
278	3522	9101
279	3537	9095
280	3553	9092
281	3567	9083
282	3584	9080
283	3602	9083
284	3618	9079
285	3632	9069
286	3645	9057
287	3658	9044
288	3673	9037
289	3691	9037
290	3705	9027
291	3715	9008
292	3726	8992
293	3739	8980
294	3751	8965
295	3763	8950
296	3775	8935
297	3784	8914
298	3794	8895
299	3804	8877
300	3813	8855
301	3825	8840
302	3836	8825
303	3846	8805
304	3857	8790
305	3868	8772
306	3876	8751
307	3887	8734
308	3896	8713
309	3907	8696
310	3916	8676
311	3926	8657
312	3936	8640
313	3947	8624
314	3964	8621
315	3976	8607
316	3988	8594
317	4000	8580
318	4012	8566
319	4023	8549
320	4036	8538
321	4047	8522
322	4059	8507
323	4072	8497
324	4083	8481
325	4095	8468
326	4106	8452
327	4118	8437
328	4129	8422
329	4139	8404
330	4151	8390
331	4165	8380
332	4177	8367
333	4187	8349
334	4197	8332
335	4208	8316
336	4222	8307
337	4234	8292
338	4245	8278
339	4255	8260
340	4268	8248
341	4280	8235
342	4290	8217
343	4300	8201
344	4311	8186
345	4323	8171
346	4333	8154
347	4344	8138
348	4355	8124
349	4367	8110
350	4378	8095
351	4389	8080
352	4399	8064
353	4411	8050
354	4423	8036
355	4432	8018
356	4443	8002
357	4455	7990
358	4465	7973
359	4477	7960
360	4490	7947
361	4502	7935
362	4513	7920
363	4524	7905
364	4536	7892
365	4548	7878
366	4560	7865
367	4571	7851
368	4583	7837
369	4597	7828
370	4614	7822
371	4626	7810
372	4637	7796
373	4649	7782
374	4659	7766
375	4674	7758
376	4685	7743
377	4695	7726
378	4705	7710
379	4716	7695
380	4729	7683
381	4741	7670
382	4753	7658
383	4767	7647
384	4786	7645
385	4801	7638
386	4817	7631
387	4865	7674
388	4888	7678
389	4899	7663
390	4909	7646
391	4922	7635
392	4934	7620
393	4945	7605
394	4955	7590
395	4966	7574
396	4977	7560
397	4988	7545
398	5000	7531
399	5011	7517
400	5023	7503
401	5035	7491
402	5050	7481
403	5061	7467
404	5072	7452
405	5085	7439
406	5098	7427
407	5112	7418
408	5123	7403
409	5133	7387
410	5146	7374
411	5157	7361
412	5168	7346
413	5179	7331
414	5190	7316
415	5200	7301
416	5212	7288
417	5224	7273
418	5235	7259
419	5247	7245
420	5259	7233
421	5272	7221
422	5285	7210
423	5299	7199
424	5315	7191
425	5333	7186
426	5359	7191
427	5376	7185
428	5391	7176
429	5410	7172
430	5426	7164
431	5443	7157
432	5457	7146
433	5470	7134
434	5486	7126
435	5506	7123
436	5535	7131
437	5547	7117
438	5561	7106
439	5574	7095
440	5591	7087
441	5604	7075
442	5617	7062
443	5627	7047
444	5644	7039
445	5657	7027
446	5669	7014
447	5682	7002
448	5693	6987
449	5705	6973
450	5716	6958
451	5728	6945
452	5739	6930
453	5755	6921
454	5768	6909
455	5779	6895
456	5790	6879
457	5802	6866
458	5813	6852
459	5823	6836
460	5834	6822
461	5846	6808
462	5857	6793
463	5869	6779
464	5879	6764
465	5890	6750
466	5902	6736
467	5913	6722
468	5924	6708
469	5935	6693
470	5947	6679
471	5957	6664
472	5968	6649
473	5979	6634
474	5989	6620
475	5999	6604
476	6010	6590
477	6020	6574
478	6031	6560
479	6043	6547
480	6053	6531
481	6064	6517
482	6075	6503
483	6085	6488
484	6096	6473
485	6106	6458
486	6116	6442
487	6127	6429
488	6139	6415
489	6149	6400
490	6162	6388
491	6174	6375
492	6185	6361
493	6195	6346
494	6205	6331
495	6215	6315
496	6225	6300
497	6237	6287
498	6251	6276
499	6261	6261
500	6272	6247
501	6283	6233
502	6293	6218
503	6304	6204
504	6315	6190
505	6324	6174
506	6339	6164
507	6352	6152
508	6362	6137
509	6374	6124
510	6386	6111
511	6398	6098
512	6408	6083
513	6420	6070
514	6431	6056
515	6442	6042
516	6454	6029
517	6465	6016
518	6476	6002
519	6489	5990
520	6500	5976
521	6511	5962
522	6520	5946
523	6531	5933
524	6539	5917
525	6552	5904
526	6562	5890
527	6574	5876
528	6586	5864
529	6598	5851
530	6610	5838
531	6620	5824
532	6631	5810
533	6642	5796
534	6652	5782
535	6665	5769
536	6677	5757
537	6687	5742
538	6698	5728
539	6708	5714
540	6718	5699
541	6730	5687
542	6742	5674
543	6772	5676
544	6785	5664
545	6801	5655
546	6814	5643
547	6827	5631
548	6841	5620
549	6851	5606
550	6875	5602
551	6926	5621
552	6940	5610
553	6962	5605
554	6977	5594
555	6995	5586
556	7008	5574
557	7024	5564
558	7034	5549
559	7044	5535
560	7054	5520
561	7063	5505
562	7077	5493
563	7091	5482
564	7103	5468
565	7113	5454
566	7127	5442
567	7139	5429
568	7150	5416
569	7162	5403
570	7175	5390
571	7186	5377
572	7196	5362
573	7206	5348
574	7218	5335
575	7231	5323
576	7240	5307
577	7248	5291
578	7257	5277
579	7267	5263
580	7277	5247
581	7286	5233
582	7295	5218
583	7304	5202
584	7313	5188
585	7322	5173
586	7333	5159
587	7344	5146
588	7354	5132
589	7366	5119
590	7377	5105
591	7387	5091
592	7401	5080
593	7418	5070
594	7432	5059
595	7443	5045
596	7458	5034
597	7475	5025
598	7485	5011
599	7496	4997
600	7508	4984
601	7520	4972
602	7542	4966
603	7560	4956
604	7574	4945
605	7591	4935
606	7605	4924
607	7621	4913
608	7633	4901
609	7647	4889
610	7659	4876
611	7671	4863
612	7686	4852
613	7697	4839
614	7709	4826
615	7719	4812
616	7728	4797
617	7736	4782
618	7744	4767
619	7754	4752
620	7762	4737
621	7773	4724
622	7785	4711
623	7795	4697
624	7805	4683
625	7815	4669
626	7829	4657
627	7838	4643
628	7847	4628
629	7860	4616
630	7871	4602
631	7880	4588
632	7893	4576
633	7905	4563
634	7917	4551
635	7930	4538
636	7942	4525
637	7955	4513
638	7966	4500
639	7978	4487
640	7995	4477
641	8009	4466
642	8020	4452
643	8030	4439
644	8040	4425
645	8052	4412
646	8061	4398
647	8070	4383
648	8080	4370
649	8091	4356
650	8101	4343
651	8110	4328
652	8119	4314
653	8129	4300
654	8138	4286
655	8147	4272
656	8157	4258
657	8167	4245
658	8176	4230
659	8185	4216
660	8195	4203
661	8205	4189
662	8215	4175
663	8224	4162
664	8234	4147
665	8244	4134
666	8255	4121
667	8265	4107
668	8275	4094
669	8284	4080
670	8294	4067
671	8303	4053
672	8315	4040
673	8325	4026
674	8336	4013
675	8349	4001
676	8363	3990
677	8374	3977
678	8387	3965
679	8398	3952
680	8410	3939
681	8421	3926
682	8435	3915
683	8458	3907
684	8471	3895
685	8482	3882
686	8493	3869
687	8507	3857
688	8521	3846
689	8532	3833
690	8543	3820
691	8553	3806
692	8562	3793
693	8573	3780
694	8582	3766
695	8592	3752
696	8601	3739
697	8611	3725
698	8621	3712
699	8630	3698
700	8644	3686
701	8654	3673
702	8664	3660
703	8675	3647
704	8685	3634
705	8695	3621
706	8705	3608
707	8715	3594
708	8726	3581
709	8739	3569
710	8750	3556
711	8761	3544
712	8773	3531
713	8785	3519
714	8797	3506
715	8808	3493
716	8819	3481
717	8833	3469
718	8844	3456
719	8855	3443
720	8867	3431
721	8878	3418
722	8887	3405
723	8898	3392
724	8907	3378
725	8921	3367
726	8931	3354
727	8941	3340
728	8951	3327
729	8963	3315
730	8976	3303
731	8986	3290
732	8996	3277
733	9006	3264
734	9015	3250
735	9025	3237
736	9035	3224
737	9044	3210
738	9053	3197
739	9063	3184
740	9073	3171
741	9083	3158
742	9093	3145
743	9102	3132
744	9115	3119
745	9128	3108
746	9139	3095
747	9150	3082
748	9160	3069
749	9173	3057
750	9185	3045
751	9196	3032
752	9208	3020
753	9222	3008
754	9234	2996
755	9248	2984
756	9262	2973
757	9276	2961
758	9289	2949
759	9304	2938
760	9319	2927
761	9338	2916
762	9352	2905
763	9366	2893
764	9379	2881
765	9393	2869
766	9405	2857
767	9417	2844
768	9428	2832
769	9440	2820
770	9456	2808
771	9471	2797
772	9482	2784
773	9495	2772
774	9509	2760
775	9521	2748
776	9533	2736
777	9543	2723
778	9555	2710
779	9567	2698
780	9577	2685
781	9586	2672
782	9596	2659
783	9606	2646
784	9616	2633
785	9625	2620
786	9635	2607
787	9644	2594
788	9654	2581
789	9664	2569
790	9674	2556
791	9683	2543
792	9693	2530
793	9703	2517
794	9714	2504
795	9727	2493
796	9736	2480
797	9746	2467
798	9755	2454
799	9766	2441
800	9775	2428
801	9784	2415
802	9796	2403
803	9811	2391
804	9825	2379
805	9835	2367
806	9848	2355
807	9860	2343
808	9871	2330
809	9882	2318
810	9896	2306
811	9910	2294
812	9924	2282
813	9935	2270
814	9947	2257
815	9958	2245
816	9968	2232
817	9978	2220
818	9988	2207
819	9998	2194
820	10008	2182
821	10018	2169
822	10026	2156
823	10035	2143
824	10045	2130
825	10055	2118
826	10065	2105
827	10075	2092
828	10084	2080
829	10094	2067
830	10104	2054
831	10112	2041
832	10126	2030
833	10135	2017
834	10144	2004
835	10153	1991
836	10163	1979
837	10173	1966
838	10182	1953
839	10191	1941
840	10201	1928
841	10211	1916
842	10222	1903
843	10233	1891
844	10243	1878
845	10264	1868
846	10274	1855
847	10283	1843
848	10293	1830
849	10303	1818
850	10312	1805
851	10321	1792
852	10331	1780
853	10340	1767
854	10349	1755
855	10359	1742
856	10369	1730
857	10378	1717
858	10388	1705
859	10397	1692
860	10406	1680
861	10416	1667
862	10426	1655
863	10435	1642
864	10448	1630
865	10483	1622
866	10529	1615
867	10554	1605
868	10572	1593
869	10585	1581
870	10603	1570
871	10617	1558
872	10633	1546
873	10645	1534
874	10655	1522
875	10666	1509
876	10679	1497
877	10692	1485
878	10701	1473
879	10713	1460
880	10725	1448
881	10737	1436
882	10754	1424
883	10763	1412
884	10774	1400
885	10784	1387
886	10795	1375
887	10804	1362
888	10814	1350
889	10826	1338
890	10838	1325
891	10847	1313
892	10868	1302
893	10881	1290
894	10892	1277
895	10904	1265
896	10916	1253
897	10929	1241
898	10943	1229
899	10954	1217
900	10964	1204
901	10973	1192
902	10983	1179
903	10993	1167
904	11004	1155
905	11014	1142
906	11023	1130
907	11033	1117
908	11042	1105
909	11052	1093
910	11062	1080
911	11071	1068
912	11081	1055
913	11090	1043
914	11102	1031
915	11113	1019
916	11124	1006
917	11136	994
918	11148	982
919	11159	970
920	11170	958
921	11182	945
922	11193	933
923	11203	921
924	11216	909
925	11227	897
926	11239	885
927	11250	872
928	11260	860
929	11269	848
930	11279	835
931	11288	823
932	11297	811
933	11307	799
934	11317	786
935	11327	774
936	11338	762
937	11347	750
938	11357	737
939	11367	725
940	11377	713
941	11388	701
942	11400	689
943	11411	676
944	11422	664
945	11431	652
946	11441	640
947	11452	628
948	11467	616
949	11481	604
950	11493	592
951	11502	579
952	11511	567
953	11522	555
954	11532	543
955	11543	531
956	11553	519
957	11562	506
958	11573	494
959	11582	482
960	11592	470
961	11602	458
962	11610	446
963	11620	433
964	11630	421
965	11640	409
966	11650	397
967	11660	385
968	11670	373
969	11680	361
970	11690	349
971	11700	337
972	11708	324
973	11718	312
974	11727	300
975	11737	288
976	11747	276
977	11756	264
978	11767	252
979	11777	240
980	11787	228
981	11800	216
982	11810	204
983	11821	192
984	11834	180
985	11845	168
986	11856	156
987	11868	144
988	11880	132
989	11891	120
990	11907	108
991	11927	96
992	11950	84
993	11976	72
994	11995	60
995	12010	48
996	12023	36
997	12044	24
998	12073	12
999	12095	0
