iter	Logloss
0	0.682237746
1	0.6721729988
2	0.6613764539
3	0.6530219392
4	0.6432538803
5	0.6330579512
6	0.6241861979
7	0.6169488513
8	0.6081096127
9	0.5991986047
10	0.5900972518
11	0.5811893018
12	0.5724270124
13	0.565533597
14	0.5567791087
15	0.5507253947
16	0.5433635439
17	0.5378063491
18	0.5314634982
19	0.5241394667
20	0.5181557747
21	0.5102932858
22	0.5041785367
23	0.498344749
24	0.4929102798
25	0.486499685
26	0.4816125039
27	0.4758671174
28	0.4697745544
29	0.4644983834
30	0.4599097004
31	0.455461467
32	0.4504948091
33	0.4468680228
34	0.4430768222
35	0.4387362428
36	0.4343252358
37	0.4297129313
38	0.4261991037
39	0.4222246104
40	0.4187598043
41	0.4150907364
42	0.4115762223
43	0.4088290786
44	0.404269353
45	0.400983003
46	0.3978131378
47	0.39414148
48	0.3913290886
49	0.3878860942
50	0.3851055309
51	0.3825283246
52	0.3806015358
53	0.3780721653
54	0.3756075744
55	0.3730724623
56	0.3700449501
57	0.3678558911
58	0.3648552768
59	0.3617196112
60	0.359704515
61	0.3574604432
62	0.3547701221
63	0.3529610663
64	0.3504412754
65	0.3481610694
66	0.3460999159
67	0.3437438216
68	0.3413970885
69	0.3392011334
70	0.3376353133
71	0.3356673352
72	0.3339714565
73	0.3317776857
74	0.3299971816
75	0.3278377666
76	0.3261971191
77	0.324501178
78	0.3226309622
79	0.321346478
80	0.3196887931
81	0.3180952326
82	0.3161202335
83	0.3149027132
84	0.3129133291
85	0.3109238201
86	0.3090563815
87	0.3078360528
88	0.3061476007
89	0.3041370602
90	0.3027428001
91	0.3004466488
92	0.2989643308
93	0.2976349751
94	0.2961375855
95	0.2945098253
96	0.2933987733
97	0.2920202088
98	0.2906251997
99	0.2895007611
100	0.2886094481
101	0.2874310889
102	0.2859839067
103	0.2847208284
104	0.2832179157
105	0.2820370914
106	0.2806144356
107	0.2795137433
108	0.2784458777
109	0.2773787298
110	0.2760849155
111	0.2752342302
112	0.2735844712
113	0.272607191
114	0.271625667
115	0.2699605868
116	0.268958593
117	0.2680801984
118	0.2670409782
119	0.2657907872
120	0.2647673874
121	0.263892675
122	0.2626736257
123	0.2618236581
124	0.2611541592
125	0.2599251402
126	0.2590192081
127	0.2581381769
128	0.2572116969
129	0.256149448
130	0.2554372932
131	0.2545900871
132	0.2536409842
133	0.2526761076
134	0.2520941674
135	0.251357533
136	0.2505661666
137	0.2499051084
138	0.2489580806
139	0.2482248942
140	0.2476268058
141	0.2470034422
142	0.2461672356
143	0.2452769835
144	0.2445810704
145	0.2434365832
146	0.2425922636
147	0.2419992459
148	0.2413856179
149	0.2406559264
150	0.2398426547
151	0.2389864619
152	0.2383349522
153	0.2377179542
154	0.2368045487
155	0.2363426505
156	0.2356662711
157	0.2349530866
158	0.234435099
159	0.2335193845
160	0.2328324269
161	0.2320849335
162	0.2316788749
163	0.2308690046
164	0.230329455
165	0.2293246217
166	0.2286885423
167	0.2279065216
168	0.227213136
169	0.2268039103
170	0.2261489213
171	0.2256413871
172	0.2250807748
173	0.2244596891
174	0.2237296855
